           X Spline Natural      Error
          X Spline MonoH.FC        Error
1  27.70000        4.300000  0.000000000
2  27.79190        4.272258 -0.034036201
3  27.89880        4.256599 -0.067340449
4  28.01826        4.249138 -0.090519238
5  28.14783        4.245989 -0.098642004
6  28.28504        4.243265 -0.091269479
7  28.42744        4.237079 -0.071812975
8  28.57260        4.223546 -0.046341570
9  28.71804        4.198780 -0.021999658
10 28.86133        4.158893 -0.005228286
11 29.00000        4.100000  0.000000000
          X Spline Natural         Error
1  29.00000       4.100000  0.000000e+00
2  29.13213       4.019244 -5.665577e-03
3  29.25791       3.917884 -1.662135e-02
4  29.37804       3.798211 -2.809808e-02
5  29.49321       3.662512 -3.701017e-02
6  29.60415       3.513078 -4.161170e-02
7  29.71156       3.352198 -4.120923e-02
8  29.81614       3.182161 -3.592088e-02
9  29.91861       3.005256 -2.647223e-02
10 30.01966       2.823773 -1.402061e-02
11 30.12000       2.640000  4.440892e-16
          X Spline MonoH.FC         Error
1  29.00000        4.100000  0.000000e+00
2  29.13213        4.019244 -5.665577e-03
3  29.25791        3.917884 -1.662135e-02
4  29.37804        3.798211 -2.809808e-02
5  29.49321        3.662512 -3.701017e-02
6  29.60415        3.513078 -4.161170e-02
7  29.71156        3.352198 -4.120923e-02
8  29.81614        3.182161 -3.592088e-02
9  29.91861        3.005256 -2.647223e-02
10 30.01966        2.823773 -1.402061e-02
11 30.12000        2.640000  4.440892e-16
> SplineCubico(xb2,yb2)
          X Spline Natural        Error
1  0.620000       2.500000 0.000000e+00
2  1.357160       2.460605 6.599635e-01
3  2.087705       2.422992 1.260440e+00
4  2.805018       2.388942 1.746614e+00
5  3.502484       2.360236 2.072719e+00
6  4.173487       2.338656 2.205837e+00
7  4.811410       2.325984 2.128853e+00
8  5.409639       2.324001 1.842340e+00
9  5.961558       2.334488 1.365186e+00
10 6.460550       2.359227 7.338238e-01
11 6.900000       2.400000 2.220446e-15
          X Spline MonoH.FC        Error
1  0.620000        2.500000 0.000000e+00
2  1.357160        2.460605 6.599635e-01
3  2.087705        2.422992 1.260440e+00
4  2.805018        2.388942 1.746614e+00
5  3.502484        2.360236 2.072719e+00
6  4.173487        2.338656 2.205837e+00
7  4.811410        2.325984 2.128853e+00
8  5.409639        2.324001 1.842340e+00
9  5.961558        2.334488 1.365186e+00
10 6.460550        2.359227 7.338238e-01
11 6.900000        2.400000 2.220446e-15
          X Spline Natural       Error
1  6.900000       2.400000  0.00000000
2  7.275108       2.457456 -0.65993654
3  7.588337       2.527720 -0.82568197
4  7.843966       2.605784 -0.43729600
5  8.046275       2.686641  0.02883654
6  8.199540       2.765282  0.23276503
7  8.308043       2.836701  0.19670159
8  8.376062       2.895890  0.06122406
9  8.407875       2.937841 -0.04686199
10 8.407761       2.957547 -0.06629799
11 8.380000       2.950000  0.00000000
          X Spline MonoH.FC       Error
1  6.900000        2.400000  0.00000000
2  7.275108        2.457456 -0.65993654
3  7.588337        2.527720 -0.82568197
4  7.843966        2.605784 -0.43729600
5  8.046275        2.686641  0.02883654
6  8.199540        2.765282  0.23276503
7  8.308043        2.836701  0.19670159
8  8.376062        2.895890  0.06122406
9  8.407875        2.937841 -0.04686199
10 8.407761        2.957547 -0.06629799
11 8.380000        2.950000  0.00000000
          X Spline Natural         Error
1  8.380000       2.950000  0.000000e+00
2  8.329047       2.911759  1.071138e-01
3  8.260066       2.845647  1.934804e-01
4  8.178396       2.756051  2.165734e-01
5  8.089378       2.647362  1.675551e-01
6  7.998352       2.523966  6.899693e-02
7  7.910657       2.390253 -3.859926e-02
8  7.831635       2.250611 -1.147761e-01
9  7.766624       2.109430 -1.341867e-01
10 7.720966       1.971096 -9.251025e-02
11 7.700000       1.840000 -2.220446e-16
          X Spline MonoH.FC         Error
1  8.380000        2.950000  0.000000e+00
2  8.329047        2.911759  1.071138e-01
3  8.260066        2.845647  1.934804e-01
4  8.178396        2.756051  2.165734e-01
5  8.089378        2.647362  1.675551e-01
6  7.998352        2.523966  6.899693e-02
7  7.910657        2.390253 -3.859926e-02
8  7.831635        2.250611 -1.147761e-01
9  7.766624        2.109430 -1.341867e-01
10 7.720966        1.971096 -9.251025e-02
11 7.700000        1.840000 -2.220446e-16
          X Spline Natural     Error
1  7.700000       1.840000 0.0000000
2  7.707843       1.719887 0.1340765
3  7.743719       1.611932 0.3128242
4  7.805629       1.516670 0.5523122
5  7.891573       1.434633 0.8638706
6  7.999553       1.366354 1.2297968
7  8.127568       1.312367 1.5792232
8  8.273620       1.273205 1.7679883
9  8.435708       1.249401 1.5685219
10 8.611835       1.241488 0.8826737
11 8.800000       1.250000 0.0000000
          X Spline MonoH.FC     Error
1  7.700000        1.840000 0.0000000
2  7.707843        1.719887 0.1340765
3  7.743719        1.611932 0.3128242
4  7.805629        1.516670 0.5523122
5  7.891573        1.434633 0.8638706
6  7.999553        1.366354 1.2297968
7  8.127568        1.312367 1.5792232
8  8.273620        1.273205 1.7679883
9  8.435708        1.249401 1.5685219
10 8.611835        1.241488 0.8826737
11 8.800000        1.250000 0.0000000
           X Spline Natural      Error
1   8.800000       1.250000  0.0000000
2   8.998000       1.274764 -0.6967665
3   9.202817       1.312784 -1.1205170
4   9.411227       1.360359 -1.2950132
5   9.620008       1.413787 -1.2660590
6   9.825937       1.469368 -1.0929661
7  10.025791       1.523399 -0.8394237
8  10.216347       1.572179 -0.5647440
9  10.394382       1.612007 -0.3164028
10 10.556674       1.639181 -0.1246759
11 10.700000       1.650000  0.0000000
           X Spline MonoH.FC      Error
1   8.800000        1.250000  0.0000000
2   8.998000        1.274764 -0.6967665
3   9.202817        1.312784 -1.1205170
4   9.411227        1.360359 -1.2950132
5   9.620008        1.413787 -1.2660590
6   9.825937        1.469368 -1.0929661
7  10.025791        1.523399 -0.8394237
8  10.216347        1.572179 -0.5647440
9  10.394382        1.612007 -0.3164028
10 10.556674        1.639181 -0.1246759
11 10.700000        1.650000  0.0000000
          X Spline Natural      Error
1  10.70000       1.650000 0.00000000
2  10.82251       1.641968 0.06900896
3  10.92781       1.617412 0.10874868
4  11.02091       1.579865 0.13541109
5  11.10679       1.532859 0.15536101
6  11.19045       1.479926 0.16897840
7  11.27687       1.424599 0.17302603
8  11.37104       1.370410 0.16229801
9  11.47796       1.320893 0.13123604
10 11.60262       1.279578 0.07628523
11 11.75000       1.250000 0.00000000
          X Spline MonoH.FC      Error
1  10.70000        1.650000 0.00000000
2  10.82251        1.641968 0.06900896
3  10.92781        1.617412 0.10874868
4  11.02091        1.579865 0.13541109
5  11.10679        1.532859 0.15536101
6  11.19045        1.479926 0.16897840
7  11.27687        1.424599 0.17302603
8  11.37104        1.370410 0.16229801
9  11.47796        1.320893 0.13123604
10 11.60262        1.279578 0.07628523
11 11.75000        1.250000 0.00000000
          X Spline Natural         Error
1  11.75000       1.250000  0.000000e+00
2  11.92378       1.234733 -8.450284e-02
3  12.12233       1.232526 -1.623110e-01
4  12.34272       1.241171 -2.220541e-01
5  12.58201       1.258458 -2.561365e-01
6  12.83726       1.282179 -2.611668e-01
7  13.10553       1.310126 -2.379858e-01
8  13.38388       1.340090 -1.913207e-01
9  13.66937       1.369863 -1.291096e-01
10 13.95905       1.397236 -6.155753e-02
11 14.25000       1.420000 -6.661338e-16
          X Spline MonoH.FC         Error
1  11.75000        1.250000  0.000000e+00
2  11.92378        1.234733 -8.450284e-02
3  12.12233        1.232526 -1.623110e-01
4  12.34272        1.241171 -2.220541e-01
5  12.58201        1.258458 -2.561365e-01
6  12.83726        1.282179 -2.611668e-01
7  13.10553        1.310126 -2.379858e-01
8  13.38388        1.340090 -1.913207e-01
9  13.66937        1.369863 -1.291096e-01
10 13.95905        1.397236 -6.155753e-02
11 14.25000        1.420000 -6.661338e-16
          X Spline Natural        Error
1  14.25000       1.420000 0.000000e+00
2  14.53979       1.436429 4.644203e-02
3  14.82806       1.446722 7.766736e-02
4  15.11499       1.451562 9.567462e-02
5  15.40075       1.451629 1.023522e-01
6  15.68550       1.447607 9.949308e-02
7  15.96940       1.440176 8.880905e-02
8  16.25264       1.430018 7.194489e-02
9  16.53537       1.417815 5.049199e-02
10 16.81777       1.404248 2.600198e-02
11 17.10000       1.390000 2.220446e-16
          X Spline MonoH.FC        Error
1  14.25000        1.420000 0.000000e+00
2  14.53979        1.436429 4.644203e-02
3  14.82806        1.446722 7.766736e-02
4  15.11499        1.451562 9.567462e-02
5  15.40075        1.451629 1.023522e-01
6  15.68550        1.447607 9.949308e-02
7  15.96940        1.440176 8.880905e-02
8  16.25264        1.430018 7.194489e-02
9  16.53537        1.417815 5.049199e-02
10 16.81777        1.404248 2.600198e-02
11 17.10000        1.390000 2.220446e-16
> SplineCubico(xb2o,yb2o)
          X Spline Natural      Error
1  17.10000       1.390000 0.00000000
2  17.15608       1.334418 0.01138026
3  17.21264       1.279840 0.02185010
4  17.27016       1.227272 0.03053964
5  17.32912       1.177720 0.03666247
6  17.39000       1.132188 0.03956356
7  17.45328       1.091680 0.03877468
8  17.51944       1.057203 0.03408034
9  17.58896       1.029760 0.02559751
10 17.66232       1.010358 0.01387259
11 17.74000       1.000000 0.00000000
          X Spline MonoH.FC      Error
1  17.10000        1.390000 0.00000000
2  17.15608        1.334418 0.01138026
3  17.21264        1.279840 0.02185010
4  17.27016        1.227272 0.03053964
5  17.32912        1.177720 0.03666247
6  17.39000        1.132188 0.03956356
7  17.45328        1.091680 0.03877468
8  17.51944        1.057203 0.03408034
9  17.58896        1.029760 0.02559751
10 17.66232        1.010358 0.01387259
11 17.74000        1.000000 0.00000000
          X Spline Natural       Error
1  17.74000      1.0000000  0.00000000
2  17.82232      0.9993575 -0.01429101
